iso3,territorio,cod_local,anio,valor
ATG,Antigua y Barbuda,NA,1960,62.635
ATG,Antigua y Barbuda,NA,1961,63.335
ATG,Antigua y Barbuda,NA,1962,63.995
ATG,Antigua y Barbuda,NA,1963,64.697
ATG,Antigua y Barbuda,NA,1964,65.428
ATG,Antigua y Barbuda,NA,1965,66.171
ATG,Antigua y Barbuda,NA,1966,66.902
ATG,Antigua y Barbuda,NA,1967,67.586
ATG,Antigua y Barbuda,NA,1968,68.23
ATG,Antigua y Barbuda,NA,1969,68.827
ATG,Antigua y Barbuda,NA,1970,69.371
ATG,Antigua y Barbuda,NA,1971,69.861
ATG,Antigua y Barbuda,NA,1972,70.304
ATG,Antigua y Barbuda,NA,1973,70.71
ATG,Antigua y Barbuda,NA,1974,71.095
ATG,Antigua y Barbuda,NA,1975,71.447
ATG,Antigua y Barbuda,NA,1976,71.794
ATG,Antigua y Barbuda,NA,1977,72.149
ATG,Antigua y Barbuda,NA,1978,72.5
ATG,Antigua y Barbuda,NA,1979,72.823
ATG,Antigua y Barbuda,NA,1980,73.094
ATG,Antigua y Barbuda,NA,1981,73.32
ATG,Antigua y Barbuda,NA,1982,73.525
ATG,Antigua y Barbuda,NA,1983,73.684
ATG,Antigua y Barbuda,NA,1984,73.808
ATG,Antigua y Barbuda,NA,1985,73.873
ATG,Antigua y Barbuda,NA,1986,73.893
ATG,Antigua y Barbuda,NA,1987,73.873
ATG,Antigua y Barbuda,NA,1988,73.811
ATG,Antigua y Barbuda,NA,1989,73.628
ATG,Antigua y Barbuda,NA,1990,73.602
ATG,Antigua y Barbuda,NA,1991,73.472
ATG,Antigua y Barbuda,NA,1992,73.386
ATG,Antigua y Barbuda,NA,1993,73.39
ATG,Antigua y Barbuda,NA,1994,73.493
ATG,Antigua y Barbuda,NA,1995,73.576
ATG,Antigua y Barbuda,NA,1996,73.839
ATG,Antigua y Barbuda,NA,1997,74.045
ATG,Antigua y Barbuda,NA,1998,74.187
ATG,Antigua y Barbuda,NA,1999,74.456
ATG,Antigua y Barbuda,NA,2000,74.819
ATG,Antigua y Barbuda,NA,2001,75.108
ATG,Antigua y Barbuda,NA,2002,75.237
ATG,Antigua y Barbuda,NA,2003,75.313
ATG,Antigua y Barbuda,NA,2004,75.329
ATG,Antigua y Barbuda,NA,2005,75.364
ATG,Antigua y Barbuda,NA,2006,75.506
ATG,Antigua y Barbuda,NA,2007,75.72
ATG,Antigua y Barbuda,NA,2008,76.075
ATG,Antigua y Barbuda,NA,2009,76.386
ATG,Antigua y Barbuda,NA,2010,76.701
ATG,Antigua y Barbuda,NA,2011,77.023
ATG,Antigua y Barbuda,NA,2012,77.1
ATG,Antigua y Barbuda,NA,2013,77.05
ATG,Antigua y Barbuda,NA,2014,76.912
ATG,Antigua y Barbuda,NA,2015,76.892
ATG,Antigua y Barbuda,NA,2016,76.968
