iso3,Territorio,cod_local,anio,valor
ATG,Antigua y Barbuda,NA,1999,2.52540993690491
ATG,Antigua y Barbuda,NA,2002,3.07877993583679
ATG,Antigua y Barbuda,NA,2009,2.22264003753662
ATG,Antigua y Barbuda,NA,2012,2.13043025907083
ATG,Antigua y Barbuda,NA,2013,2.35972143126598
ATG,Antigua y Barbuda,NA,2014,2.3044409375638
ATG,Antigua y Barbuda,NA,2015,1.9934755302761
ATG,Antigua y Barbuda,NA,2016,2.17149931504636
ATG,Antigua y Barbuda,NA,2017,2.28158315038897
ATG,Antigua y Barbuda,NA,2018,2.26922708436893
ATG,Antigua y Barbuda,NA,2019,3.35725653382563
ATG,Antigua y Barbuda,NA,2020,3.0051830460864
ATG,Antigua y Barbuda,NA,2021,2.50897393198865
ATG,Antigua y Barbuda,NA,2022,2.50368755552383
ATG,Antigua y Barbuda,NA,2023,3.10505161832136
ARG,Argentina,NA,1970,1.4580899477005
ARG,Argentina,NA,1972,1.93620002269745
ARG,Argentina,NA,1973,1.78051996231079
ARG,Argentina,NA,1974,1.92351996898651
ARG,Argentina,NA,1975,1.84360003471374
ARG,Argentina,NA,1976,1.16563999652863
ARG,Argentina,NA,1977,1.71984004974365
ARG,Argentina,NA,1978,1.93554997444153
ARG,Argentina,NA,1979,2.4002799987793
ARG,Argentina,NA,1980,2.6071500778198202
ARG,Argentina,NA,1982,1.59786999225616
ARG,Argentina,NA,1983,1.61749994754791
ARG,Argentina,NA,1984,2.56972002983093
ARG,Argentina,NA,1985,1.36186003684998
ARG,Argentina,NA,1986,1.261549949646
ARG,Argentina,NA,1987,1.28229999542236
ARG,Argentina,NA,1989,1.04612004756927
ARG,Argentina,NA,1990,1.06737995147705
ARG,Argentina,NA,1996,3.73198008537292
ARG,Argentina,NA,1998,4.03986978530884
ARG,Argentina,NA,1999,4.52167987823486
ARG,Argentina,NA,2000,4.58030986785889
ARG,Argentina,NA,2001,4.833740234375
ARG,Argentina,NA,2002,4.01734018325806
ARG,Argentina,NA,2003,3.53504991531372
ARG,Argentina,NA,2004,3.48652005195618
ARG,Argentina,NA,2005,3.86000990867615
ARG,Argentina,NA,2006,4.12821006774902
ARG,Argentina,NA,2007,4.46260976791382
ARG,Argentina,NA,2008,4.84438991546631
ARG,Argentina,NA,2009,5.53105020523071
ARG,Argentina,NA,2010,5.01972007751465
ARG,Argentina,NA,2011,5.29063987731934
ARG,Argentina,NA,2012,5.3458399772644
ARG,Argentina,NA,2013,5.43660020828247
ARG,Argentina,NA,2014,5.36144018173218
ARG,Argentina,NA,2015,5.77611017227173
ARG,Argentina,NA,2016,5.54548978805542
ARG,Argentina,NA,2017,5.45432996749878
ARG,Argentina,NA,2018,4.87773990631104
ARG,Argentina,NA,2019,4.77165985107422
ARG,Argentina,NA,2020,5.27689981460571
ARG,Argentina,NA,2021,4.65393018722534
ARG,Argentina,NA,2022,4.79263019561768
ARG,Argentina,NA,2023,5.00324010848999
