iso3,territorio,cod_local,anio,valor
ARG,Argentina,NA,1980,40.8
ARG,Argentina,NA,1986,42.8
ARG,Argentina,NA,1987,45.3
ARG,Argentina,NA,1991,46.8
ARG,Argentina,NA,1992,45.5
ARG,Argentina,NA,1993,44.8
ARG,Argentina,NA,1994,45.9
ARG,Argentina,NA,1995,48.9
ARG,Argentina,NA,1996,49.5
ARG,Argentina,NA,1997,49.1
ARG,Argentina,NA,1998,50.7
ARG,Argentina,NA,1999,49.8
ARG,Argentina,NA,2000,51
ARG,Argentina,NA,2001,53.3
ARG,Argentina,NA,2002,53.8
ARG,Argentina,NA,2003,51
ARG,Argentina,NA,2004,48.5
ARG,Argentina,NA,2005,47.8
ARG,Argentina,NA,2006,46.4
ARG,Argentina,NA,2007,46.3
ARG,Argentina,NA,2008,45
ARG,Argentina,NA,2009,43.8
ARG,Argentina,NA,2010,43.7
ARG,Argentina,NA,2011,42.7
ARG,Argentina,NA,2012,41.4
ARG,Argentina,NA,2013,41.1
ARG,Argentina,NA,2014,41.8
ARG,Argentina,NA,2016,42.3
ARG,Argentina,NA,2017,41.4
ARG,Argentina,NA,2018,41.7
ARG,Argentina,NA,2019,43.3
ARG,Argentina,NA,2020,42.7
ARG,Argentina,NA,2021,42.4
ARG,Argentina,NA,2022,40.7
ARG,Argentina,NA,2023,42.4
ARG,Argentina,NA,2024,42.4
BRB,Barbados,NA,2016,34.1
BLZ,Belice,NA,1993,60.2
BLZ,Belice,NA,1994,60.9
BLZ,Belice,NA,1995,57.5
BLZ,Belice,NA,1996,56.6
BLZ,Belice,NA,1997,60.4
BLZ,Belice,NA,1998,54.9
BLZ,Belice,NA,1999,53.2
BLZ,Belice,NA,2018,39.9
BOL,Bolivia,NA,1990,42
BOL,Bolivia,NA,1992,49.1
BOL,Bolivia,NA,1997,58.1
BOL,Bolivia,NA,1999,58
BOL,Bolivia,NA,2000,61.6
BOL,Bolivia,NA,2001,57.4
BOL,Bolivia,NA,2002,59.3
BOL,Bolivia,NA,2004,55
BOL,Bolivia,NA,2005,58.5
BOL,Bolivia,NA,2006,56.7
BOL,Bolivia,NA,2007,54.5
BOL,Bolivia,NA,2008,50.8
BOL,Bolivia,NA,2009,49.2
BOL,Bolivia,NA,2011,46.1
BOL,Bolivia,NA,2012,46.6
BOL,Bolivia,NA,2013,47.6
BOL,Bolivia,NA,2014,47.8
BOL,Bolivia,NA,2015,46.7
BOL,Bolivia,NA,2016,45.2
BOL,Bolivia,NA,2017,44.6
BOL,Bolivia,NA,2018,42.6
BOL,Bolivia,NA,2019,41.6
BOL,Bolivia,NA,2020,43.6
BOL,Bolivia,NA,2021,40.9
BOL,Bolivia,NA,2022,41.2
BOL,Bolivia,NA,2023,42.1
BOL,Bolivia,NA,2024,40.9
BRA,Brasil,NA,1981,57.9
BRA,Brasil,NA,1982,58.4
BRA,Brasil,NA,1983,58.9
BRA,Brasil,NA,1984,58.3
BRA,Brasil,NA,1985,55.5
BRA,Brasil,NA,1986,58.4
BRA,Brasil,NA,1987,59.6
BRA,Brasil,NA,1988,61.4
BRA,Brasil,NA,1989,63.2
BRA,Brasil,NA,1990,60.5
BRA,Brasil,NA,1992,53.1
BRA,Brasil,NA,1993,60.1
BRA,Brasil,NA,1995,59.5
BRA,Brasil,NA,1996,59.8
BRA,Brasil,NA,1997,59.8
BRA,Brasil,NA,1998,59.6
BRA,Brasil,NA,1999,59
BRA,Brasil,NA,2001,58.4
BRA,Brasil,NA,2002,58.1
BRA,Brasil,NA,2003,57.6
BRA,Brasil,NA,2004,56.5
BRA,Brasil,NA,2005,56.3
BRA,Brasil,NA,2006,55.6
BRA,Brasil,NA,2007,54.9
BRA,Brasil,NA,2008,54
BRA,Brasil,NA,2009,53.7
BRA,Brasil,NA,2011,52.9
BRA,Brasil,NA,2012,53.4
BRA,Brasil,NA,2013,52.7
BRA,Brasil,NA,2014,52.1
BRA,Brasil,NA,2015,51.9
BRA,Brasil,NA,2016,53.4
BRA,Brasil,NA,2017,53.3
BRA,Brasil,NA,2018,53.9
BRA,Brasil,NA,2019,53.5
BRA,Brasil,NA,2020,48.8
BRA,Brasil,NA,2021,52.9
BRA,Brasil,NA,2022,51.9
BRA,Brasil,NA,2023,51.5
BRA,Brasil,NA,2024,50.3
CAN,Canadá,NA,1971,37.2
CAN,Canadá,NA,1973,34.9
CAN,Canadá,NA,1975,34.1
CAN,Canadá,NA,1977,33.7
CAN,Canadá,NA,1979,33.5
CAN,Canadá,NA,1981,33
CAN,Canadá,NA,1982,32.9
CAN,Canadá,NA,1984,33.5
CAN,Canadá,NA,1985,33.2
CAN,Canadá,NA,1986,31.7
CAN,Canadá,NA,1987,31.7
CAN,Canadá,NA,1988,31.2
CAN,Canadá,NA,1989,31
CAN,Canadá,NA,1990,31.4
CAN,Canadá,NA,1991,31.9
CAN,Canadá,NA,1992,31.6
CAN,Canadá,NA,1993,31.7
