iso3,territorio,cod_local,anio,valor
ATG,Antigua y Barbuda,NA,1960,9.155
ATG,Antigua y Barbuda,NA,1961,8.858
ATG,Antigua y Barbuda,NA,1962,8.596
ATG,Antigua y Barbuda,NA,1963,8.326
ATG,Antigua y Barbuda,NA,1964,8.031
ATG,Antigua y Barbuda,NA,1965,7.672
ATG,Antigua y Barbuda,NA,1966,7.311
ATG,Antigua y Barbuda,NA,1967,6.976
ATG,Antigua y Barbuda,NA,1968,6.674
ATG,Antigua y Barbuda,NA,1969,6.407
ATG,Antigua y Barbuda,NA,1970,6.212
ATG,Antigua y Barbuda,NA,1971,6.134
ATG,Antigua y Barbuda,NA,1972,6.116
ATG,Antigua y Barbuda,NA,1973,6.133
ATG,Antigua y Barbuda,NA,1974,6.16
ATG,Antigua y Barbuda,NA,1975,6.206
ATG,Antigua y Barbuda,NA,1976,6.266
ATG,Antigua y Barbuda,NA,1977,6.309
ATG,Antigua y Barbuda,NA,1978,6.323
ATG,Antigua y Barbuda,NA,1979,6.37
ATG,Antigua y Barbuda,NA,1980,6.403
ATG,Antigua y Barbuda,NA,1981,6.474
ATG,Antigua y Barbuda,NA,1982,6.56
ATG,Antigua y Barbuda,NA,1983,6.672
ATG,Antigua y Barbuda,NA,1984,6.807
ATG,Antigua y Barbuda,NA,1985,6.929
ATG,Antigua y Barbuda,NA,1986,7.041
ATG,Antigua y Barbuda,NA,1987,7.176
ATG,Antigua y Barbuda,NA,1988,7.322
ATG,Antigua y Barbuda,NA,1989,7.496
ATG,Antigua y Barbuda,NA,1990,7.597
ATG,Antigua y Barbuda,NA,1991,7.625
ATG,Antigua y Barbuda,NA,1992,7.643
ATG,Antigua y Barbuda,NA,1993,7.562
ATG,Antigua y Barbuda,NA,1994,7.408
ATG,Antigua y Barbuda,NA,1995,7.253
ATG,Antigua y Barbuda,NA,1996,7.039
ATG,Antigua y Barbuda,NA,1997,6.837
ATG,Antigua y Barbuda,NA,1998,6.635
ATG,Antigua y Barbuda,NA,1999,6.447
ATG,Antigua y Barbuda,NA,2000,6.254
ATG,Antigua y Barbuda,NA,2001,6.148
ATG,Antigua y Barbuda,NA,2002,6.164
ATG,Antigua y Barbuda,NA,2003,6.256
ATG,Antigua y Barbuda,NA,2004,6.333
ATG,Antigua y Barbuda,NA,2005,6.343
ATG,Antigua y Barbuda,NA,2006,6.263
ATG,Antigua y Barbuda,NA,2007,6.157
ATG,Antigua y Barbuda,NA,2008,6.008
ATG,Antigua y Barbuda,NA,2009,5.888
ATG,Antigua y Barbuda,NA,2010,5.767
ATG,Antigua y Barbuda,NA,2011,5.664
ATG,Antigua y Barbuda,NA,2012,5.692
ATG,Antigua y Barbuda,NA,2013,5.786
ATG,Antigua y Barbuda,NA,2014,5.954
ATG,Antigua y Barbuda,NA,2015,6.069
ATG,Antigua y Barbuda,NA,2016,6.142
ATG,Antigua y Barbuda,NA,2017,6.228
ATG,Antigua y Barbuda,NA,2018,6.312
ATG,Antigua y Barbuda,NA,2019,6.448
ATG,Antigua y Barbuda,NA,2020,6.605
ATG,Antigua y Barbuda,NA,2021,6.806
ATG,Antigua y Barbuda,NA,2022,6.771
ATG,Antigua y Barbuda,NA,2023,6.893
ATG,Antigua y Barbuda,NA,2024,7.028
ARG,Argentina,NA,1960,8.654
ARG,Argentina,NA,1961,8.523
ARG,Argentina,NA,1962,8.712
ARG,Argentina,NA,1963,8.704
ARG,Argentina,NA,1964,8.887
ARG,Argentina,NA,1965,8.831
ARG,Argentina,NA,1966,8.775
ARG,Argentina,NA,1967,8.896
ARG,Argentina,NA,1968,9.195
ARG,Argentina,NA,1969,9.453
ARG,Argentina,NA,1970,9.154
ARG,Argentina,NA,1971,9.352
ARG,Argentina,NA,1972,9.303
ARG,Argentina,NA,1973,9.314
ARG,Argentina,NA,1974,9.25
