iso3,territorio,cod_local,anio,valor
ATG,Antigua y Barbuda,NA,1977,1213.67021714646
ATG,Antigua y Barbuda,NA,1978,1374.82027453607
ATG,Antigua y Barbuda,NA,1979,1705.14199048287
ATG,Antigua y Barbuda,NA,1980,2053.10327921275
ATG,Antigua y Barbuda,NA,1981,2310.19699820442
ATG,Antigua y Barbuda,NA,1982,2569.18182363887
ATG,Antigua y Barbuda,NA,1983,2846.99335735773
ATG,Antigua y Barbuda,NA,1984,3270.7810304062
ATG,Antigua y Barbuda,NA,1985,3814.3142290779
ATG,Antigua y Barbuda,NA,1986,4629.45676400154
ATG,Antigua y Barbuda,NA,1987,5424.36847756962
ATG,Antigua y Barbuda,NA,1988,6466.15683473424
ATG,Antigua y Barbuda,NA,1989,7187.90484128028
ATG,Antigua y Barbuda,NA,1990,7590.75442423046
ATG,Antigua y Barbuda,NA,1991,7956.47430919648
ATG,Antigua y Barbuda,NA,1992,8153.73786307269
ATG,Antigua y Barbuda,NA,1993,8624.62016806628
ATG,Antigua y Barbuda,NA,1994,9351.48753768505
ATG,Antigua y Barbuda,NA,1995,9034.47552907143
ATG,Antigua y Barbuda,NA,1996,9756.08717951992
ATG,Antigua y Barbuda,NA,1997,10336.2591617838
ATG,Antigua y Barbuda,NA,1998,10906.8785406961
ATG,Antigua y Barbuda,NA,1999,11342.3349230913
ATG,Antigua y Barbuda,NA,2000,12027.4949768222
ATG,Antigua y Barbuda,NA,2001,11539.1825063308
ATG,Antigua y Barbuda,NA,2002,11658.6949915956
ATG,Antigua y Barbuda,NA,2003,12173.2319860305
ATG,Antigua y Barbuda,NA,2004,13037.8895772257
ATG,Antigua y Barbuda,NA,2005,14368.5708796058
ATG,Antigua y Barbuda,NA,2006,16173.8136329968
ATG,Antigua y Barbuda,NA,2007,18204.5124043068
ATG,Antigua y Barbuda,NA,2008,18786.6743142216
ATG,Antigua y Barbuda,NA,2009,16472.2478528568
ATG,Antigua y Barbuda,NA,2010,15217.3950790922
ATG,Antigua y Barbuda,NA,2011,14911.7275084471
ATG,Antigua y Barbuda,NA,2012,15639.8078114787
ATG,Antigua y Barbuda,NA,2013,15051.5113587425
ATG,Antigua y Barbuda,NA,2014,15532.1062063584
ATG,Antigua y Barbuda,NA,2015,16077.6340769406
ATG,Antigua y Barbuda,NA,2016,16556.8551801588
ATG,Antigua y Barbuda,NA,2017,16965.7288273816
ATG,Antigua y Barbuda,NA,2018,18273.4270684912
ATG,Antigua y Barbuda,NA,2019,18896.3721832248
ATG,Antigua y Barbuda,NA,2020,15369.6082250401
ATG,Antigua y Barbuda,NA,2021,17348.6006987182
ATG,Antigua y Barbuda,NA,2022,20003.3909394099
ATG,Antigua y Barbuda,NA,2023,22012.2625947994
ATG,Antigua y Barbuda,NA,2024,23059.8330702839
ATG,Antigua y Barbuda,NA,2025,24819.2454680158
ARG,Argentina,NA,1960,778.251706763404
ARG,Argentina,NA,1961,971.338043308372
ARG,Argentina,NA,1962,870.217490905403
ARG,Argentina,NA,1963,852.972425139433
ARG,Argentina,NA,1964,1176.20086190313
ARG,Argentina,NA,1965,1281.83337976859
ARG,Argentina,NA,1966,1275.07843418966
ARG,Argentina,NA,1967,1063.93283833587
ARG,Argentina,NA,1968,1141.95211617341
ARG,Argentina,NA,1969,1329.56181832409
ARG,Argentina,NA,1970,1322.71454216808
ARG,Argentina,NA,1971,1372.50746646061
ARG,Argentina,NA,1972,1409.37097316211
ARG,Argentina,NA,1973,2097.89945010806
ARG,Argentina,NA,1974,2844.96990526761
ARG,Argentina,NA,1975,2026.68435752865
ARG,Argentina,NA,1976,1946.91990388248
ARG,Argentina,NA,1977,2126.48546048047
ARG,Argentina,NA,1978,3282.06304446289
ARG,Argentina,NA,1979,2511.97332905958
ARG,Argentina,NA,1980,2747.5022751674
ARG,Argentina,NA,1981,2764.08641421079
ARG,Argentina,NA,1982,2914.76708504176
ARG,Argentina,NA,1983,3537.7473459832
ARG,Argentina,NA,1984,3915.03492645691
ARG,Argentina,NA,1985,2905.77565536137
ARG,Argentina,NA,1986,3436.07819471053
ARG,Argentina,NA,1987,3477.30131979313
ARG,Argentina,NA,1988,3992.70330179156
ARG,Argentina,NA,1989,2374.57321551641
ARG,Argentina,NA,1990,4315.33403111588
ARG,Argentina,NA,1991,5709.24784079504
ARG,Argentina,NA,1992,6789.99611136495
ARG,Argentina,NA,1993,6931.85596375876
ARG,Argentina,NA,1994,7437.56242327594
ARG,Argentina,NA,1995,7357.6162773788
ARG,Argentina,NA,1996,7663.21271287469
ARG,Argentina,NA,1997,8146.78710021431
ARG,Argentina,NA,1998,8218.99212764682
ARG,Argentina,NA,1999,7705.54288252851
ARG,Argentina,NA,2000,7637.01489203628
ARG,Argentina,NA,2001,7141.47507662826
ARG,Argentina,NA,2002,2569.69963519124
ARG,Argentina,NA,2003,3320.47775133903
ARG,Argentina,NA,2004,4242.02099089422
ARG,Argentina,NA,2005,5067.65342293276
ARG,Argentina,NA,2006,5869.38028970204
ARG,Argentina,NA,2007,7185.25155147027
ARG,Argentina,NA,2008,8944.1102657357
ARG,Argentina,NA,2009,8150.23527028221
ARG,Argentina,NA,2010,10260.1313108254
ARG,Argentina,NA,2011,12704.2831819684
ARG,Argentina,NA,2012,12949.717486654
ARG,Argentina,NA,2013,12963.675773326
ARG,Argentina,NA,2014,12233.1444119186
ARG,Argentina,NA,2015,13679.6264980954
ARG,Argentina,NA,2016,12699.9623137756
ARG,Argentina,NA,2017,14532.5009308511
ARG,Argentina,NA,2018,11752.7998922979
ARG,Argentina,NA,2019,9955.97478680428
ARG,Argentina,NA,2020,8535.59938004389
ARG,Argentina,NA,2021,10738.0179223384
ARG,Argentina,NA,2022,13962.1894087223
ARG,Argentina,NA,2023,14261.8465667948
ARG,Argentina,NA,2024,13969.7836603737
ARG,Argentina,NA,2025,14898.0885943842
ABW,Aruba,NA,1986,6767.55922942669
ABW,Aruba,NA,1987,8244.04566011433
ABW,Aruba,NA,1988,10056.2613927414
ABW,Aruba,NA,1989,11507.2171509849
ABW,Aruba,NA,1990,12187.5363611898
ABW,Aruba,NA,1991,13233.9905169683
ABW,Aruba,NA,1992,13892.6051427736
ABW,Aruba,NA,1993,14700.9598081521
ABW,Aruba,NA,1994,16055.2877874337
ABW,Aruba,NA,1995,16548.7173868987
ABW,Aruba,NA,1996,16620.9545555513
ABW,Aruba,NA,1997,17750.0095644198
ABW,Aruba,NA,1998,18828.0870594071
ABW,Aruba,NA,1999,19216.197235447198
ABW,Aruba,NA,2000,20681.0230269625
ABW,Aruba,NA,2001,20740.1325828172
ABW,Aruba,NA,2002,21307.2482505267
ABW,Aruba,NA,2003,21949.4859960868
ABW,Aruba,NA,2004,23700.6319899197
ABW,Aruba,NA,2005,24171.8371325422
ABW,Aruba,NA,2006,24845.65848362
ABW,Aruba,NA,2007,26736.3089444046
ABW,Aruba,NA,2008,28171.9094008501
ABW,Aruba,NA,2009,25134.7712303589
ABW,Aruba,NA,2010,24093.1401510626
ABW,Aruba,NA,2011,25712.3843015186
ABW,Aruba,NA,2012,25119.6655449838
ABW,Aruba,NA,2013,25813.5714408438
ABW,Aruba,NA,2014,26129.8390617693
ABW,Aruba,NA,2015,27458.2201537506
ABW,Aruba,NA,2016,27441.5502144601
ABW,Aruba,NA,2017,28440.0416881491
ABW,Aruba,NA,2018,30082.1584226798
