iso3,territorio,cod_local,anio,valor
ATG,Antigua y Barbuda,NA,1960,55603
ATG,Antigua y Barbuda,NA,1961,56540
ATG,Antigua y Barbuda,NA,1962,57336
ATG,Antigua y Barbuda,NA,1963,58138
ATG,Antigua y Barbuda,NA,1964,59020
ATG,Antigua y Barbuda,NA,1965,59970
ATG,Antigua y Barbuda,NA,1966,60900
ATG,Antigua y Barbuda,NA,1967,61837
ATG,Antigua y Barbuda,NA,1968,62809
ATG,Antigua y Barbuda,NA,1969,63819
ATG,Antigua y Barbuda,NA,1970,64528
ATG,Antigua y Barbuda,NA,1971,64729
ATG,Antigua y Barbuda,NA,1972,64615
ATG,Antigua y Barbuda,NA,1973,64342
ATG,Antigua y Barbuda,NA,1974,64058
ATG,Antigua y Barbuda,NA,1975,63839
ATG,Antigua y Barbuda,NA,1976,63762
ATG,Antigua y Barbuda,NA,1977,63862
ATG,Antigua y Barbuda,NA,1978,64038
ATG,Antigua y Barbuda,NA,1979,64274
ATG,Antigua y Barbuda,NA,1980,64513
ATG,Antigua y Barbuda,NA,1981,64665
ATG,Antigua y Barbuda,NA,1982,64785
ATG,Antigua y Barbuda,NA,1983,64934
ATG,Antigua y Barbuda,NA,1984,64882
ATG,Antigua y Barbuda,NA,1985,64591
ATG,Antigua y Barbuda,NA,1986,64276
ATG,Antigua y Barbuda,NA,1987,63946
ATG,Antigua y Barbuda,NA,1988,63623
ATG,Antigua y Barbuda,NA,1989,63325
ATG,Antigua y Barbuda,NA,1990,63066
ATG,Antigua y Barbuda,NA,1991,63387
ATG,Antigua y Barbuda,NA,1992,64404
ATG,Antigua y Barbuda,NA,1993,65587
ATG,Antigua y Barbuda,NA,1994,66843
ATG,Antigua y Barbuda,NA,1995,68189
ATG,Antigua y Barbuda,NA,1996,69612
ATG,Antigua y Barbuda,NA,1997,71053
ATG,Antigua y Barbuda,NA,1998,72412
ATG,Antigua y Barbuda,NA,1999,73666
ATG,Antigua y Barbuda,NA,2000,74912
ATG,Antigua y Barbuda,NA,2001,76069
ATG,Antigua y Barbuda,NA,2002,77032
ATG,Antigua y Barbuda,NA,2003,77884
ATG,Antigua y Barbuda,NA,2004,78719
ATG,Antigua y Barbuda,NA,2005,79611
ATG,Antigua y Barbuda,NA,2006,80604
ATG,Antigua y Barbuda,NA,2007,81704
ATG,Antigua y Barbuda,NA,2008,82912
ATG,Antigua y Barbuda,NA,2009,84173
ATG,Antigua y Barbuda,NA,2010,85320
ATG,Antigua y Barbuda,NA,2011,86332
ATG,Antigua y Barbuda,NA,2012,87260
ATG,Antigua y Barbuda,NA,2013,88064
ATG,Antigua y Barbuda,NA,2014,88765
ATG,Antigua y Barbuda,NA,2015,89409
ATG,Antigua y Barbuda,NA,2016,89969
ATG,Antigua y Barbuda,NA,2017,90468
ATG,Antigua y Barbuda,NA,2018,90926
ATG,Antigua y Barbuda,NA,2019,91364
ATG,Antigua y Barbuda,NA,2020,91846
ATG,Antigua y Barbuda,NA,2021,92349
ATG,Antigua y Barbuda,NA,2022,92840
ATG,Antigua y Barbuda,NA,2023,93316
ATG,Antigua y Barbuda,NA,2024,93772
ATG,Antigua y Barbuda,NA,2025,94209
ARG,Argentina,NA,1960,20386045
ARG,Argentina,NA,1961,20726276
ARG,Argentina,NA,1962,21072538
ARG,Argentina,NA,1963,21421705
ARG,Argentina,NA,1964,21769453
ARG,Argentina,NA,1965,22112629
ARG,Argentina,NA,1966,22453893
ARG,Argentina,NA,1967,22799059
ARG,Argentina,NA,1968,23150583
ARG,Argentina,NA,1969,23508711
ARG,Argentina,NA,1970,23878327
ARG,Argentina,NA,1971,24257208
ARG,Argentina,NA,1972,24644328
ARG,Argentina,NA,1973,25046005
ARG,Argentina,NA,1974,25461351
ARG,Argentina,NA,1975,25874107
ARG,Argentina,NA,1976,26282283
ARG,Argentina,NA,1977,26701805
ARG,Argentina,NA,1978,27132158
ARG,Argentina,NA,1979,27568895
ARG,Argentina,NA,1980,28011596
ARG,Argentina,NA,1981,28463959
ARG,Argentina,NA,1982,28924262
ARG,Argentina,NA,1983,29391332
ARG,Argentina,NA,1984,29863093
ARG,Argentina,NA,1985,30336441
ARG,Argentina,NA,1986,30811980
ARG,Argentina,NA,1987,31291762
ARG,Argentina,NA,1988,31780532
ARG,Argentina,NA,1989,32270948
ARG,Argentina,NA,1990,32755901
ARG,Argentina,NA,1991,33230294
ARG,Argentina,NA,1992,33693527
ARG,Argentina,NA,1993,34152717
ARG,Argentina,NA,1994,34613491
ARG,Argentina,NA,1995,35070020
ARG,Argentina,NA,1996,35513793
ARG,Argentina,NA,1997,35947791
ARG,Argentina,NA,1998,36372860
ARG,Argentina,NA,1999,36794682
ARG,Argentina,NA,2000,37213984
ARG,Argentina,NA,2001,37624825
ARG,Argentina,NA,2002,38029349
ARG,Argentina,NA,2003,38424282
ARG,Argentina,NA,2004,38815916
ARG,Argentina,NA,2005,39216789
ARG,Argentina,NA,2006,39622115
ARG,Argentina,NA,2007,40016763
ARG,Argentina,NA,2008,40424148
ARG,Argentina,NA,2009,40854831
ARG,Argentina,NA,2010,41288694
ARG,Argentina,NA,2011,41730660
ARG,Argentina,NA,2012,42161721
ARG,Argentina,NA,2013,42582455
ARG,Argentina,NA,2014,43024071
ARG,Argentina,NA,2015,43477012
ARG,Argentina,NA,2016,43900313
ARG,Argentina,NA,2017,44288894
ARG,Argentina,NA,2018,44654882
ARG,Argentina,NA,2019,44973465
ARG,Argentina,NA,2020,45191965
ARG,Argentina,NA,2021,45312281
ARG,Argentina,NA,2022,45407904
ARG,Argentina,NA,2023,45538401
ARG,Argentina,NA,2024,45696159
ARG,Argentina,NA,2025,45851378
ABW,Aruba,NA,1960,54922
ABW,Aruba,NA,1961,55578
ABW,Aruba,NA,1962,56320
ABW,Aruba,NA,1963,57002
ABW,Aruba,NA,1964,57619
ABW,Aruba,NA,1965,58190
ABW,Aruba,NA,1966,58694
ABW,Aruba,NA,1967,58990
ABW,Aruba,NA,1968,59069
ABW,Aruba,NA,1969,59052
ABW,Aruba,NA,1970,58950
ABW,Aruba,NA,1971,58781
ABW,Aruba,NA,1972,58047
ABW,Aruba,NA,1973,58299
ABW,Aruba,NA,1974,58349
ABW,Aruba,NA,1975,58295
ABW,Aruba,NA,1976,58368
ABW,Aruba,NA,1977,58580
ABW,Aruba,NA,1978,58776
ABW,Aruba,NA,1979,59191
ABW,Aruba,NA,1980,59909
ABW,Aruba,NA,1981,60563
ABW,Aruba,NA,1982,61276
ABW,Aruba,NA,1983,62228
ABW,Aruba,NA,1984,62901
ABW,Aruba,NA,1985,61728
ABW,Aruba,NA,1986,59931
ABW,Aruba,NA,1987,59159
ABW,Aruba,NA,1988,59331
ABW,Aruba,NA,1989,60443
ABW,Aruba,NA,1990,62753
ABW,Aruba,NA,1991,65896
ABW,Aruba,NA,1992,69005
ABW,Aruba,NA,1993,73685
ABW,Aruba,NA,1994,77595
ABW,Aruba,NA,1995,79805
ABW,Aruba,NA,1996,83021
ABW,Aruba,NA,1997,86301
ABW,Aruba,NA,1998,88451
ABW,Aruba,NA,1999,89659
ABW,Aruba,NA,2000,90588
ABW,Aruba,NA,2001,91439
ABW,Aruba,NA,2002,92074
ABW,Aruba,NA,2003,93128
ABW,Aruba,NA,2004,95138
ABW,Aruba,NA,2005,97635
ABW,Aruba,NA,2006,99405
ABW,Aruba,NA,2007,100150
ABW,Aruba,NA,2008,100917
ABW,Aruba,NA,2009,101604
ABW,Aruba,NA,2010,101838
ABW,Aruba,NA,2011,102591
ABW,Aruba,NA,2012,104110
ABW,Aruba,NA,2013,105675
ABW,Aruba,NA,2014,106807
ABW,Aruba,NA,2015,107906
ABW,Aruba,NA,2016,108727
ABW,Aruba,NA,2017,108735
ABW,Aruba,NA,2018,108908
ABW,Aruba,NA,2019,109203
ABW,Aruba,NA,2020,108587
ABW,Aruba,NA,2021,107700
ABW,Aruba,NA,2022,107310
