iso3,Territorio,cod_local,anio,valor
ARG,Argentina,NA,2000,57.80834
ARG,Argentina,NA,2001,60.25133
ARG,Argentina,NA,2002,59.15006
ARG,Argentina,NA,2003,60.93268
ARG,Argentina,NA,2004,58.43938
ARG,Argentina,NA,2005,57.45685
ARG,Argentina,NA,2006,60.04397
ARG,Argentina,NA,2007,61.7407
ARG,Argentina,NA,2008,59.32073
ARG,Argentina,NA,2009,62.10812
ARG,Argentina,NA,2010,54.74272
ARG,Argentina,NA,2011,48.47361
ARG,Argentina,NA,2012,49.27162
ARG,Argentina,NA,2013,46.72781
ARG,Argentina,NA,2014,43.4515
ARG,Argentina,NA,2015,38.61611
ARG,Argentina,NA,2016,39.5128
ARG,Argentina,NA,2017,38.34257
ARG,Argentina,NA,2018,38.48333
ARG,Argentina,NA,2019,36.41051
ARG,Argentina,NA,2020,39.67996
ARG,Argentina,NA,2021,76.48618
ARG,Argentina,NA,2022,39.32267
ARG,Argentina,NA,2023,33.22814
BHS,Bahamas,NA,2000,51.26978
BHS,Bahamas,NA,2001,48.23636
BHS,Bahamas,NA,2002,46.27778
BHS,Bahamas,NA,2003,57.30682
BHS,Bahamas,NA,2004,68.8499
BHS,Bahamas,NA,2005,69.50286
BHS,Bahamas,NA,2006,74.07226
BHS,Bahamas,NA,2007,78.23895
BHS,Bahamas,NA,2008,80.44553
BHS,Bahamas,NA,2009,83.77106
BHS,Bahamas,NA,2010,79.49573
BHS,Bahamas,NA,2011,74.34305
BHS,Bahamas,NA,2012,70.75463
BHS,Bahamas,NA,2013,74.16211
BHS,Bahamas,NA,2014,77.69537
BHS,Bahamas,NA,2015,82.83132
BHS,Bahamas,NA,2016,77.20687
BHS,Bahamas,NA,2017,78.97838
BHS,Bahamas,NA,2018,82.14974
BHS,Bahamas,NA,2019,82.14319
BHS,Bahamas,NA,2020,84.35691
BHS,Bahamas,NA,2021,174.29421
BHS,Bahamas,NA,2022,80.06993
BHS,Bahamas,NA,2023,75.95361
BRB,Barbados,NA,2000,45.66083
BRB,Barbados,NA,2001,45.84178
BRB,Barbados,NA,2002,43.19389
BRB,Barbados,NA,2003,44.65167
BRB,Barbados,NA,2004,42.71906
BRB,Barbados,NA,2005,43.72432
BRB,Barbados,NA,2006,44.62182
BRB,Barbados,NA,2007,41.89977
BRB,Barbados,NA,2008,41.50407
BRB,Barbados,NA,2009,41.77438
BRB,Barbados,NA,2010,41.70716
BRB,Barbados,NA,2011,41.17528
BRB,Barbados,NA,2012,39.53492
BRB,Barbados,NA,2013,39.66056
BRB,Barbados,NA,2014,38.54943
BRB,Barbados,NA,2015,37.02361
BRB,Barbados,NA,2016,36.26096
BRB,Barbados,NA,2017,36.58056
BRB,Barbados,NA,2018,36.70521
BRB,Barbados,NA,2019,36.4975
BRB,Barbados,NA,2020,38.65383
BRB,Barbados,NA,2021,38.48689
BRB,Barbados,NA,2022,37.93933
BRB,Barbados,NA,2023,34.88119
BLZ,Belice,NA,2000,78.12834
BLZ,Belice,NA,2001,76.22194
BLZ,Belice,NA,2002,68.21414
BLZ,Belice,NA,2003,66.76509
BLZ,Belice,NA,2004,62.76015
BLZ,Belice,NA,2005,60.07114
BLZ,Belice,NA,2006,55.36324
BLZ,Belice,NA,2007,51.57972
BLZ,Belice,NA,2008,47.7854
BLZ,Belice,NA,2009,44.53123
BLZ,Belice,NA,2010,40.88922
BLZ,Belice,NA,2011,39.26565
BLZ,Belice,NA,2012,40.26288
BLZ,Belice,NA,2013,41.36256
BLZ,Belice,NA,2014,43.66217
BLZ,Belice,NA,2015,47.15458
BLZ,Belice,NA,2016,51.40328
BLZ,Belice,NA,2017,55.84857
BLZ,Belice,NA,2018,59.97342
BLZ,Belice,NA,2019,61.29752
BLZ,Belice,NA,2020,88.48717
BLZ,Belice,NA,2021,156.63585
BLZ,Belice,NA,2022,109.63405
BLZ,Belice,NA,2023,66.80087
