priorizado,dss,anio,correlacion,ci_lower,ci_upper,p_value,n,rank_abs,top10
razon-mortalidad-materna,gasto-educ-pib,2000,-0.4751413187687697,-0.7470936609938047,-0.06693494234609185,0.025437234351615278,22,1,TRUE
razon-mortalidad-materna,uso-internet,2000,-0.46808512780087147,-0.7054262850149122,-0.13635555045303283,0.007917475975357262,31,2,TRUE
razon-mortalidad-materna,gini,2000,0.4077134986225896,-0.18479299742382455,0.7828430849733036,0.1666965757382751,13,3,TRUE
razon-mortalidad-materna,uso-internet,2001,-0.5253087138969328,-0.7446539422893346,-0.20355797253276098,0.0028746310121250283,30,1,TRUE
razon-mortalidad-materna,gasto-educ-pib,2001,-0.4414470480258695,-0.7606934027285487,0.049764214325043445,0.07607550844169057,17,2,TRUE
razon-mortalidad-materna,gini,2001,0.37665198237885467,-0.19238230190623987,0.7561292967666926,0.18436534619565087,14,3,TRUE
razon-mortalidad-materna,uso-internet,2002,-0.6352639296187683,-0.8055264319917095,-0.36810550305010625,9.37688810257784e-5,32,1,TRUE
razon-mortalidad-materna,gini,2002,0.5736263736263736,0.0618696441390214,0.8465566512312448,0.03197081397639698,14,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2002,-0.5526315789473685,-0.8048253132788843,-0.13139790532203652,0.014134856843017726,19,3,TRUE
razon-mortalidad-materna,gini,2003,0.6996703903820867,0.2689135299435519,0.8971887346261218,0.005344582215938093,14,1,TRUE
razon-mortalidad-materna,uso-internet,2003,-0.62253866221246,-0.8027654474222377,-0.33809259968515976,2.391587549333442e-4,30,2,TRUE
razon-mortalidad-materna,gasto-educ-pib,2003,-0.2738043264901967,-0.6474942183911763,0.2060360763061182,0.25666609053053735,19,3,TRUE
razon-mortalidad-materna,gini,2004,0.6988385274891434,0.2906018366926953,0.8918365688008282,0.0037475421325582144,15,1,TRUE
razon-mortalidad-materna,uso-internet,2004,-0.5901986517855112,-0.7811741917723243,-0.29822087597843033,4.743544015338661e-4,31,2,TRUE
