tipo,indicador,iso3,territorio,anio,valor
dss,gasto-educ-pib,ARG,Argentina,1970,1.4580899477005
dss,gasto-educ-pib,ECU,Ecuador,1970,2.00283002853394
dss,gasto-educ-pib,GTM,Guatemala,1970,1.85871994495392
dss,gasto-educ-pib,GUY,Guyana,1970,4.32897996902466
dss,gasto-educ-pib,NIC,Nicaragua,1970,2.03858995437622
dss,gasto-educ-pib,PAN,Panamá,1970,4.04328012466431
dss,gasto-educ-pib,PRY,Paraguay,1970,2.10519003868103
dss,gasto-educ-pib,DOM,República Dominicana,1970,2.64078998565674
dss,gasto-educ-pib,VEN,Venezuela,1970,4.16286993026733
dss,gasto-educ-pib,BRB,Barbados,1971,6.15065002441406
dss,gasto-educ-pib,CAN,Canadá,1971,7.6842999458313
dss,gasto-educ-pib,ECU,Ecuador,1971,1.87940001487732
dss,gasto-educ-pib,GTM,Guatemala,1971,2.0255401134491
dss,gasto-educ-pib,NIC,Nicaragua,1971,2.49202990531921
dss,gasto-educ-pib,PAN,Panamá,1971,3.35391998291016
dss,gasto-educ-pib,PRY,Paraguay,1971,2.26543998718262
dss,gasto-educ-pib,PRI,Puerto Rico,1971,7.2505202293396
dss,gasto-educ-pib,VEN,Venezuela,1971,4.1799201965332
dss,gasto-educ-pib,ARG,Argentina,1972,1.93620002269745
dss,gasto-educ-pib,BRB,Barbados,1972,6.79071998596191
dss,gasto-educ-pib,CAN,Canadá,1972,7.58980989456177
dss,gasto-educ-pib,PAN,Panamá,1972,3.9828200340271
dss,gasto-educ-pib,PRI,Puerto Rico,1972,7.21458005905151
dss,gasto-educ-pib,VEN,Venezuela,1972,4.83728981018066
dss,gasto-educ-pib,ARG,Argentina,1973,1.78051996231079
dss,gasto-educ-pib,BRB,Barbados,1973,6.72242021560669
dss,gasto-educ-pib,BMU,Bermudas,1973,4.10790014266968
dss,gasto-educ-pib,CAN,Canadá,1973,7.01386022567749
dss,gasto-educ-pib,JAM,Jamaica,1973,3.63143992424011
dss,gasto-educ-pib,PAN,Panamá,1973,3.48574995994568
dss,gasto-educ-pib,PER,Perú,1973,3.39172005653381
dss,gasto-educ-pib,PRI,Puerto Rico,1973,6.47992992401123
dss,gasto-educ-pib,ARG,Argentina,1974,1.92351996898651
dss,gasto-educ-pib,BRB,Barbados,1974,7.52374982833862
dss,gasto-educ-pib,CAN,Canadá,1974,6.66714000701904
dss,gasto-educ-pib,CHL,Chile,1974,3.66648006439209
dss,gasto-educ-pib,JAM,Jamaica,1974,4.24897003173828
dss,gasto-educ-pib,PAN,Panamá,1974,3.81979990005493
dss,gasto-educ-pib,PRI,Puerto Rico,1974,7.28690004348755
dss,gasto-educ-pib,VEN,Venezuela,1974,3.94795989990234
dss,gasto-educ-pib,ARG,Argentina,1975,1.84360003471374
dss,gasto-educ-pib,BMU,Bermudas,1975,3.43442010879517
dss,gasto-educ-pib,CAN,Canadá,1975,6.42132997512817
dss,gasto-educ-pib,CHL,Chile,1975,3.50703001022339
dss,gasto-educ-pib,SLV,El Salvador,1975,0.904510021209717
dss,gasto-educ-pib,JAM,Jamaica,1975,5.22878980636597
dss,gasto-educ-pib,PAN,Panamá,1975,4.15451002120972
dss,gasto-educ-pib,PRI,Puerto Rico,1975,6.22974014282227
dss,gasto-educ-pib,VEN,Venezuela,1975,5.19851016998291
dss,gasto-educ-pib,ARG,Argentina,1976,1.16563999652863
dss,gasto-educ-pib,BRB,Barbados,1976,5.94479990005493
dss,gasto-educ-pib,CAN,Canadá,1976,6.69841003417969
dss,gasto-educ-pib,GTM,Guatemala,1976,1.62729001045227
dss,gasto-educ-pib,JAM,Jamaica,1976,5.85832977294922
dss,gasto-educ-pib,PAN,Panamá,1976,4.31272983551025
dss,gasto-educ-pib,PRI,Puerto Rico,1976,7.14049005508423
dss,gasto-educ-pib,ARG,Argentina,1977,1.71984004974365
dss,gasto-educ-pib,BRB,Barbados,1977,6.51715993881226
dss,gasto-educ-pib,CAN,Canadá,1977,6.71090984344482
dss,gasto-educ-pib,ECU,Ecuador,1977,2.41883993148804
dss,gasto-educ-pib,GUY,Guyana,1977,7.08872985839844
dss,gasto-educ-pib,JAM,Jamaica,1977,6.02651977539062
dss,gasto-educ-pib,PAN,Panamá,1977,4.28096008300781
dss,gasto-educ-pib,PRI,Puerto Rico,1977,6.38756990432739
dss,gasto-educ-pib,VEN,Venezuela,1977,5.25665998458862
dss,gasto-educ-pib,ARG,Argentina,1978,1.93554997444153
dss,gasto-educ-pib,CAN,Canadá,1978,7.07383012771606
dss,gasto-educ-pib,CHL,Chile,1978,2.9989900588989298
dss,gasto-educ-pib,HND,Honduras,1978,2.01904988288879
dss,gasto-educ-pib,PAN,Panamá,1978,3.60597991943359
dss,gasto-educ-pib,PRI,Puerto Rico,1978,6.68102979660034
dss,gasto-educ-pib,ARG,Argentina,1979,2.4002799987793
dss,gasto-educ-pib,CAN,Canadá,1979,6.69220018386841
dss,gasto-educ-pib,CHL,Chile,1979,3.41297006607056
dss,gasto-educ-pib,COL,Colombia,1979,1.75434005260468
dss,gasto-educ-pib,GUY,Guyana,1979,9.37786960601807
dss,gasto-educ-pib,HND,Honduras,1979,2.01298999786377
dss,gasto-educ-pib,PAN,Panamá,1979,3.64254999160767
dss,gasto-educ-pib,URY,Uruguay,1979,1.98713004589081
dss,gasto-educ-pib,ARG,Argentina,1980,2.6071500778198202
dss,gasto-educ-pib,CAN,Canadá,1980,6.46289014816284
dss,gasto-educ-pib,CHL,Chile,1980,4.14156007766724
dss,gasto-educ-pib,COL,Colombia,1980,1.72912001609802
dss,gasto-educ-pib,CRI,Costa Rica,1980,7.34716987609863
dss,gasto-educ-pib,CUB,Cuba,1980,8.36909008026123
dss,gasto-educ-pib,HND,Honduras,1980,1.93636000156403
dss,gasto-educ-pib,PAN,Panamá,1980,3.53567004203796
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1980,3.76807999610901
dss,gasto-educ-pib,URY,Uruguay,1980,2.15950989723206
dss,gasto-educ-pib,VEN,Venezuela,1980,4.40072011947632
dss,gasto-educ-pib,CAN,Canadá,1981,6.40900993347168
dss,gasto-educ-pib,CHL,Chile,1981,4.82065010070801
dss,gasto-educ-pib,COL,Colombia,1981,2.59723997116089
dss,gasto-educ-pib,HTI,Haití,1981,1.39374005794525
dss,gasto-educ-pib,PAN,Panamá,1981,3.43179988861084
dss,gasto-educ-pib,VEN,Venezuela,1981,5.18743991851807
dss,gasto-educ-pib,ARG,Argentina,1982,1.59786999225616
dss,gasto-educ-pib,CAN,Canadá,1982,6.49725008010864
dss,gasto-educ-pib,CRI,Costa Rica,1982,4.88506984710693
dss,gasto-educ-pib,HTI,Haití,1982,1.07954001426697
dss,gasto-educ-pib,PAN,Panamá,1982,3.41850996017456
dss,gasto-educ-pib,DOM,República Dominicana,1982,1.53891003131866
dss,gasto-educ-pib,LCA,Santa Lucía,1982,5.53879022598267
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1982,5.45739984512329
dss,gasto-educ-pib,VEN,Venezuela,1982,5.00895023345947
dss,gasto-educ-pib,ARG,Argentina,1983,1.61749994754791
dss,gasto-educ-pib,CAN,Canadá,1983,6.85547018051147
dss,gasto-educ-pib,CRI,Costa Rica,1983,4.95777988433838
dss,gasto-educ-pib,GUY,Guyana,1983,8.2534704208374
dss,gasto-educ-pib,HTI,Haití,1983,1.0222100019455
dss,gasto-educ-pib,PAN,Panamá,1983,3.55090999603271
dss,gasto-educ-pib,DOM,República Dominicana,1983,1.46382999420166
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1983,5.76660013198853
dss,gasto-educ-pib,VEN,Venezuela,1983,6.0598201751709
dss,gasto-educ-pib,ARG,Argentina,1984,2.56972002983093
dss,gasto-educ-pib,CAN,Canadá,1984,6.61841011047363
dss,gasto-educ-pib,COL,Colombia,1984,3.00429010391235
dss,gasto-educ-pib,ECU,Ecuador,1984,4.20342016220093
dss,gasto-educ-pib,GUY,Guyana,1984,7.22747993469238
dss,gasto-educ-pib,HTI,Haití,1984,0.986190021038055
dss,gasto-educ-pib,PAN,Panamá,1984,3.46870994567871
dss,gasto-educ-pib,DOM,República Dominicana,1984,1.33455002307892
dss,gasto-educ-pib,TTO,Trinidad y Tobago,1984,5.87390995025635
