iso3,territorio,cod_local,anio,valor
AIA,Anguila,NA,2000,0.19
AIA,Anguila,NA,2001,0
AIA,Anguila,NA,2002,0
AIA,Anguila,NA,2003,0
AIA,Anguila,NA,2004,0
AIA,Anguila,NA,2005,0.65
AIA,Anguila,NA,2006,0
AIA,Anguila,NA,2007,0
AIA,Anguila,NA,2008,0.93
AIA,Anguila,NA,2009,1
AIA,Anguila,NA,2010,7.5
AIA,Anguila,NA,2011,0
AIA,Anguila,NA,2012,0
AIA,Anguila,NA,2013,0
AIA,Anguila,NA,2014,7.3
AIA,Anguila,NA,2015,0
AIA,Anguila,NA,2016,0
AIA,Anguila,NA,2017,1.8
AIA,Anguila,NA,2018,0
AIA,Anguila,NA,2019,2
AIA,Anguila,NA,2020,2.1
AIA,Anguila,NA,2021,0
AIA,Anguila,NA,2022,7.1
AIA,Anguila,NA,2023,2.3
AIA,Anguila,NA,2024,0
ARG,Argentina,NA,2000,49
ARG,Argentina,NA,2001,46
ARG,Argentina,NA,2002,45
ARG,Argentina,NA,2003,41
ARG,Argentina,NA,2004,42
ARG,Argentina,NA,2005,38
ARG,Argentina,NA,2006,34
ARG,Argentina,NA,2007,35
ARG,Argentina,NA,2008,31
ARG,Argentina,NA,2009,25
ARG,Argentina,NA,2010,24
ARG,Argentina,NA,2011,31
ARG,Argentina,NA,2012,27
ARG,Argentina,NA,2013,27
ARG,Argentina,NA,2014,27
ARG,Argentina,NA,2015,28
ARG,Argentina,NA,2016,30
ARG,Argentina,NA,2017,29
ARG,Argentina,NA,2018,30
ARG,Argentina,NA,2019,33
ARG,Argentina,NA,2020,27
ARG,Argentina,NA,2021,34
ARG,Argentina,NA,2022,35
ARG,Argentina,NA,2023,39
ARG,Argentina,NA,2024,44
ABW,Aruba,NA,2000,6.2
ABW,Aruba,NA,2001,6.5
ABW,Aruba,NA,2002,6.8
ABW,Aruba,NA,2003,7.1
ABW,Aruba,NA,2004,7.3
ABW,Aruba,NA,2005,7.6
ABW,Aruba,NA,2006,7.9
ABW,Aruba,NA,2007,8.2
ABW,Aruba,NA,2008,8.4
ABW,Aruba,NA,2009,8.7
ABW,Aruba,NA,2010,6
ABW,Aruba,NA,2011,7.9
ABW,Aruba,NA,2012,28
ABW,Aruba,NA,2013,11
ABW,Aruba,NA,2014,1.9
ABW,Aruba,NA,2015,5.8
ABW,Aruba,NA,2016,7.6
ABW,Aruba,NA,2017,7.6
ABW,Aruba,NA,2018,4.7
ABW,Aruba,NA,2019,1.9
ABW,Aruba,NA,2020,0.93
ABW,Aruba,NA,2021,5.6
ABW,Aruba,NA,2022,4.6
ABW,Aruba,NA,2023,3.7
ABW,Aruba,NA,2024,8.3
BHS,Bahamas,NA,2000,57
BHS,Bahamas,NA,2001,39
BHS,Bahamas,NA,2002,25
BHS,Bahamas,NA,2003,19
BHS,Bahamas,NA,2004,25
BHS,Bahamas,NA,2005,21
BHS,Bahamas,NA,2006,25
BHS,Bahamas,NA,2007,19
BHS,Bahamas,NA,2008,20
BHS,Bahamas,NA,2009,18
BHS,Bahamas,NA,2010,12
BHS,Bahamas,NA,2011,15
BHS,Bahamas,NA,2012,12
BHS,Bahamas,NA,2013,12
BHS,Bahamas,NA,2014,18
BHS,Bahamas,NA,2015,21
BHS,Bahamas,NA,2016,30
BHS,Bahamas,NA,2017,17
BHS,Bahamas,NA,2018,15
BHS,Bahamas,NA,2019,17
BHS,Bahamas,NA,2020,10
BHS,Bahamas,NA,2021,14
BHS,Bahamas,NA,2022,16
BHS,Bahamas,NA,2023,8.8
BHS,Bahamas,NA,2024,18
BRB,Barbados,NA,2000,1.1
BRB,Barbados,NA,2001,2.3
BRB,Barbados,NA,2002,1.9
BRB,Barbados,NA,2003,3.3
BRB,Barbados,NA,2004,7.1
BRB,Barbados,NA,2005,3.5
BRB,Barbados,NA,2006,1.9
BRB,Barbados,NA,2007,5.9
BRB,Barbados,NA,2008,1.1
BRB,Barbados,NA,2009,0.73
BRB,Barbados,NA,2010,2.2
BRB,Barbados,NA,2011,0
BRB,Barbados,NA,2012,1.4
BRB,Barbados,NA,2013,1.4
BRB,Barbados,NA,2014,1.8
BRB,Barbados,NA,2015,0
BRB,Barbados,NA,2016,1.1
BRB,Barbados,NA,2017,0
BRB,Barbados,NA,2018,0.36
BRB,Barbados,NA,2019,0
BRB,Barbados,NA,2020,2.1
BRB,Barbados,NA,2021,0.35
BRB,Barbados,NA,2022,1.8
BRB,Barbados,NA,2023,0.71
BRB,Barbados,NA,2024,1
BLZ,Belice,NA,2000,113
BLZ,Belice,NA,2001,131
BLZ,Belice,NA,2002,119
BLZ,Belice,NA,2003,80
BLZ,Belice,NA,2004,61
BLZ,Belice,NA,2005,70
BLZ,Belice,NA,2006,55
BLZ,Belice,NA,2007,38
BLZ,Belice,NA,2008,50
BLZ,Belice,NA,2009,48
BLZ,Belice,NA,2010,75
BLZ,Belice,NA,2011,36
BLZ,Belice,NA,2012,40
BLZ,Belice,NA,2013,55
BLZ,Belice,NA,2014,31
BLZ,Belice,NA,2015,33
BLZ,Belice,NA,2016,49
BLZ,Belice,NA,2017,47
BLZ,Belice,NA,2018,39
BLZ,Belice,NA,2019,35
BLZ,Belice,NA,2020,34
BLZ,Belice,NA,2021,35
BLZ,Belice,NA,2022,35
BLZ,Belice,NA,2023,34
BLZ,Belice,NA,2024,34
BMU,Bermudas,NA,2000,0
BMU,Bermudas,NA,2001,0
BMU,Bermudas,NA,2002,0
BMU,Bermudas,NA,2003,4.7
BMU,Bermudas,NA,2004,9.6
BMU,Bermudas,NA,2005,6.9
BMU,Bermudas,NA,2006,4.8
BMU,Bermudas,NA,2007,4.1
BMU,Bermudas,NA,2008,3.3
BMU,Bermudas,NA,2009,2.5
BMU,Bermudas,NA,2010,1.6
BMU,Bermudas,NA,2011,1.6
BMU,Bermudas,NA,2012,4.7
BMU,Bermudas,NA,2013,0
BMU,Bermudas,NA,2014,0
BMU,Bermudas,NA,2015,0
BMU,Bermudas,NA,2016,3.2
BMU,Bermudas,NA,2017,3.1
BMU,Bermudas,NA,2018,3.1
BMU,Bermudas,NA,2019,3.1
BMU,Bermudas,NA,2020,4.7
BMU,Bermudas,NA,2021,3.1
BMU,Bermudas,NA,2022,1.5
BMU,Bermudas,NA,2023,3.1
BMU,Bermudas,NA,2024,3.1
BRA,Brasil,NA,2000,49
BRA,Brasil,NA,2001,46
BRA,Brasil,NA,2002,50
BRA,Brasil,NA,2003,51
BRA,Brasil,NA,2004,52
BRA,Brasil,NA,2005,48
BRA,Brasil,NA,2006,44
BRA,Brasil,NA,2007,44
BRA,Brasil,NA,2008,44
BRA,Brasil,NA,2009,43
BRA,Brasil,NA,2010,42
BRA,Brasil,NA,2011,42
BRA,Brasil,NA,2012,42
BRA,Brasil,NA,2013,42
BRA,Brasil,NA,2014,41
BRA,Brasil,NA,2015,41
BRA,Brasil,NA,2016,41
BRA,Brasil,NA,2017,43
BRA,Brasil,NA,2018,45
BRA,Brasil,NA,2019,45
BRA,Brasil,NA,2020,45
BRA,Brasil,NA,2021,47
BRA,Brasil,NA,2022,49
BRA,Brasil,NA,2023,49
BRA,Brasil,NA,2024,49
CAN,Canadá,NA,2000,8
CAN,Canadá,NA,2001,8
CAN,Canadá,NA,2002,7.3
CAN,Canadá,NA,2003,6.9
CAN,Canadá,NA,2004,6.4
CAN,Canadá,NA,2005,6.3
CAN,Canadá,NA,2006,6
CAN,Canadá,NA,2007,5.8
CAN,Canadá,NA,2008,5.9
CAN,Canadá,NA,2009,5.7
CAN,Canadá,NA,2010,4.9
CAN,Canadá,NA,2011,5
CAN,Canadá,NA,2012,5.6
CAN,Canadá,NA,2013,5.4
CAN,Canadá,NA,2014,5
