iso3,territorio,cod_local,anio,valor,sexo
ATG,Antigua y Barbuda,NA,1990,0,Total
ATG,Antigua y Barbuda,NA,1995,2.2,Total
ATG,Antigua y Barbuda,NA,1996,2.86,Total
ATG,Antigua y Barbuda,NA,1997,3.48,Total
ATG,Antigua y Barbuda,NA,1998,4.07,Total
ATG,Antigua y Barbuda,NA,1999,5.3,Total
ATG,Antigua y Barbuda,NA,2000,6.48222573702907,Total
ATG,Antigua y Barbuda,NA,2001,8.89928551450583,Total
ATG,Antigua y Barbuda,NA,2002,12.5,Total
ATG,Antigua y Barbuda,NA,2003,17.2286487816884,Total
ATG,Antigua y Barbuda,NA,2004,24.2665437161785,Total
ATG,Antigua y Barbuda,NA,2005,27,Total
ATG,Antigua y Barbuda,NA,2006,30,Total
ATG,Antigua y Barbuda,NA,2007,34,Total
ATG,Antigua y Barbuda,NA,2008,38,Total
ATG,Antigua y Barbuda,NA,2009,42,Total
ATG,Antigua y Barbuda,NA,2010,47,Total
ATG,Antigua y Barbuda,NA,2011,52,Total
ATG,Antigua y Barbuda,NA,2012,58,Total
ATG,Antigua y Barbuda,NA,2013,63.40000153,Total
ATG,Antigua y Barbuda,NA,2014,67.77999878,Total
ATG,Antigua y Barbuda,NA,2015,70,Total
ATG,Antigua y Barbuda,NA,2016,70.27159882,Total
ATG,Antigua y Barbuda,NA,2017,70.54419708,Total
ATG,Antigua y Barbuda,NA,2018,70.81790161,Total
ATG,Antigua y Barbuda,NA,2019,71.09259796,Total
ATG,Antigua y Barbuda,NA,2020,71.36840057,Total
ATG,Antigua y Barbuda,NA,2021,71.64530182,Total
ATG,Antigua y Barbuda,NA,2022,71.9233017,Total
ATG,Antigua y Barbuda,NA,2023,72.12409973,Total
ATG,Antigua y Barbuda,NA,2024,72.73040009,Total
ARG,Argentina,NA,2016,71.9057,Hombres
ARG,Argentina,NA,2017,75.1706,Hombres
ARG,Argentina,NA,2021,87.8221,Hombres
ARG,Argentina,NA,2022,88.69,Hombres
ARG,Argentina,NA,2023,89.44,Hombres
ARG,Argentina,NA,2024,90.222,Hombres
ARG,Argentina,NA,2016,70.115,Mujeres
ARG,Argentina,NA,2017,73.492,Mujeres
ARG,Argentina,NA,2021,86.5182,Mujeres
ARG,Argentina,NA,2022,88.08,Mujeres
ARG,Argentina,NA,2023,89.03,Mujeres
ARG,Argentina,NA,2024,89.1403,Mujeres
ARG,Argentina,NA,1990,0,Total
ARG,Argentina,NA,1992,0.00299,Total
